% Column 0: Length, m
% Column 1: |B|, Tesla
0.00000000e+000	1.19885379e+000	
7.73849233e-005	9.86393006e-001	
1.54769847e-004	9.01654172e-001	
2.32154770e-004	8.46434982e-001	
3.09539693e-004	8.14810815e-001	
3.86924616e-004	7.86510726e-001	
4.64309540e-004	7.73307018e-001	
5.41694463e-004	7.62020126e-001	
6.19079386e-004	7.53485109e-001	
6.96464310e-004	7.46968246e-001	
7.73849233e-004	7.41655931e-001	
8.51234156e-004	7.37680517e-001	
9.28619079e-004	7.34389442e-001	
1.00600400e-003	7.31791939e-001	
1.08338893e-003	7.29895411e-001	
1.16077385e-003	7.27541493e-001	
1.23815877e-003	7.23981672e-001	
1.31554370e-003	7.20966795e-001	
1.39292862e-003	7.18503723e-001	
1.47031354e-003	7.16598146e-001	
1.54769847e-003	7.14606466e-001	
1.62508339e-003	7.12884087e-001	
1.70246831e-003	7.11816320e-001	
1.77985324e-003	7.11406113e-001	
1.85723816e-003	7.11654603e-001	
1.93462308e-003	7.12561101e-001	
2.01200801e-003	7.14123101e-001	
2.08939293e-003	7.16336315e-001	
2.16677785e-003	7.19194731e-001	
2.24416278e-003	7.23067762e-001	
2.32154770e-003	7.34654829e-001	
2.39893262e-003	7.47643645e-001	
2.47631755e-003	7.61962529e-001	
2.55370247e-003	7.77538002e-001	
2.63108739e-003	7.97538353e-001	
2.70847231e-003	8.29165422e-001	
2.78585724e-003	8.63938524e-001	
2.86324216e-003	9.25465711e-001	
2.94062708e-003	1.02355861e+000	
3.01801201e-003	9.99343865e-001	
3.09539693e-003	6.74642202e-001	
3.17278185e-003	5.53203819e-001	
3.25016678e-003	5.00209969e-001	
3.32755170e-003	4.40276594e-001	
3.40493662e-003	4.02765839e-001	
3.48232155e-003	3.75057524e-001	
3.55970647e-003	3.49623545e-001	
3.63709139e-003	3.24566648e-001	
3.71447632e-003	3.10570779e-001	
3.79186124e-003	2.98510323e-001	
3.86924616e-003	2.86453247e-001	
3.94663109e-003	2.74399997e-001	
4.02401601e-003	2.62351101e-001	
4.10140093e-003	2.50307186e-001	
4.17878586e-003	2.38269009e-001	
4.25617078e-003	2.26237485e-001	
4.33355570e-003	2.18824507e-001	
4.41094063e-003	2.12531831e-001	
4.48832555e-003	2.06263957e-001	
4.56571047e-003	2.00023215e-001	
4.64309540e-003	1.93812227e-001	
4.72048032e-003	1.87633948e-001	
4.79786524e-003	1.81491718e-001	
4.87525017e-003	1.75389325e-001	
4.95263509e-003	1.69331074e-001	
5.03002001e-003	1.63321880e-001	
5.10740494e-003	1.57367361e-001	
5.18478986e-003	1.52353924e-001	
5.26217478e-003	1.48082937e-001	
5.33955971e-003	1.43812308e-001	
5.41694463e-003	1.39542070e-001	
5.49432955e-003	1.35272259e-001	
5.57171448e-003	1.31002918e-001	
5.64909940e-003	1.26734095e-001	
5.72648432e-003	1.22465842e-001	
5.80386925e-003	1.18198222e-001	
5.88125417e-003	1.15527242e-001	
5.95863909e-003	1.13080734e-001	
6.03602402e-003	1.10642448e-001	
6.11340894e-003	1.08212940e-001	
6.19079386e-003	1.05792815e-001	
6.26817879e-003	1.03382731e-001	
6.34556371e-003	1.01259353e-001	
6.42294863e-003	9.95600672e-002	
6.50033356e-003	9.78611281e-002	
6.57771848e-003	9.61625535e-002	
6.65510340e-003	9.44643630e-002	
6.73248833e-003	9.27665778e-002	
6.80987325e-003	9.10692205e-002	
6.88725817e-003	8.93723156e-002	
6.96464310e-003	8.76758892e-002	
7.04202802e-003	8.59799698e-002	
7.11941294e-003	8.42845878e-002	
7.19679787e-003	8.25897765e-002	
7.27418279e-003	8.08955716e-002	
7.35156771e-003	7.92020121e-002	
7.42895264e-003	7.75091404e-002	
